epoch,val_loss,val_auc,val_f1,train_loss
724,1.1253858804702759,0.8883798122406006,0.09236031770706177,1.5326049327850342
1449,1.0850811004638672,0.8928824067115784,0.12521739304065704,0.6649351119995117
2174,1.2356783151626587,0.876550555229187,0.12058570235967636,0.5041584968566895
2899,1.560472011566162,0.8616597652435303,0.13651877641677856,0.4622402787208557
3624,1.4692970514297485,0.8708094358444214,0.14917127788066864,0.4365692138671875
4349,1.4106906652450562,0.8854847550392151,0.14831461012363434,0.3308785557746887
5074,1.6912877559661865,0.9006420969963074,0.24941176176071167,0.26199451088905334
5799,2.011643409729004,0.9065171480178833,0.2658959627151489,0.20569366216659546
6524,2.065286159515381,0.9028049111366272,0.2634730637073517,0.17429785430431366
7249,2.182234764099121,0.9070653915405273,0.2616822421550751,0.17622381448745728
7974,2.4505603313446045,0.9020901918411255,0.2656826674938202,0.12458942085504532
8699,2.343611001968384,0.9005582928657532,0.26174497604370117,0.11212663352489471
9424,2.595144033432007,0.9077184796333313,0.2766798436641693,0.08390435576438904
10149,2.8584346771240234,0.9049677848815918,0.2631579041481018,0.10706588625907898
10874,2.7672622203826904,0.9030145406723022,0.3050847351551056,0.09299919754266739
11599,2.8080148696899414,0.9087241888046265,0.2575107216835022,0.05547848716378212
12324,2.9724557399749756,0.9027723670005798,0.2710280418395996,0.07833022624254227
13049,3.0282697677612305,0.9065672159194946,0.28985506296157837,0.06508942693471909
13774,3.011641502380371,0.9082341194152832,0.27906978130340576,0.05059080198407173
14499,3.159017324447632,0.9080432057380676,0.27411168813705444,0.05078340321779251
15224,3.05295729637146,0.9052227139472961,0.2829268276691437,0.05433540791273117
