anatom_site_general_challenge,FN Count,Total Melanome,FN Rate (%)
oral/genital,1.0,1,100.0
lower extremity,10.0,18,55.6
palms/soles,1.0,2,50.0
upper extremity,6.0,16,37.5
torso,13.0,39,33.3
head/neck,2.0,10,20.0
unknown,,1,
