pos_weight,auc_roc,f1_default,sensitivity_default,specificity_default,tp_default,fn_default,fp_default
25,0.9123851634199287,0.29914529914529914,0.40229885057471265,0.977058582548136,35,52,112
50,0.9126359085922011,0.23255813953488372,0.632183908045977,0.9321999180663663,55,32,331
75,0.9182382385210508,0.23853211009174313,0.5977011494252874,0.939164276935682,52,35,297
