Threshold,Sensitivity,Specificity,F1-Score,TP,FN,FP
0.05,0.747,0.877,0.173,65,22,601
0.1,0.713,0.894,0.186,62,25,519
0.2,0.667,0.911,0.2,58,29,434
0.3,0.655,0.92,0.213,57,30,392
0.5,0.621,0.936,0.237,54,33,314
